,Reward,Actor Loss,Alpha Loss,Critic 1 Loss,Critic 2 Loss
51,9322.824399999998,572.8345306088225,-0.03495576669170399,9071.588526870266,9673.05107717803
52,8577.034099999999,562.2941869870581,0.019591318725636513,7605.427620935921,8300.563543146307
53,8421.6972,572.047034677833,0.07910087264396927,9240.429741753473,9840.310532078598
54,9232.4847,567.552529074929,0.029035104156443566,8084.490579624368,8609.204735341698
55,9005.897799999999,569.4782110657355,0.0507433886517479,7152.155505247791,7560.260599155618
56,8970.8422,568.2980682681306,-0.00410154311343877,7386.660804825599,8036.532352331913
57,7145.3813,629.2033506451231,0.19762524413038987,11036.980335582386,12732.68448153409
58,8141.080000000002,582.0413090869633,-0.29690388364322257,7517.707578716856,9405.694841481218
59,7988.8225,573.2410358467488,0.10210787873677533,6853.421953914141,7842.183019156408
60,8799.315999999997,563.5807606090199,-0.049539839566657036,7321.236722695707,8022.814564098011
61,9296.143499999998,574.09938126381,0.0956921253466245,8613.005641128078,9163.602188880997
62,7955.131000000005,557.3844925080887,0.024843678292300966,7173.996419270833,7563.224624171402
63,-1260.3747000000026,597.958795104364,0.9671187981060057,11061.204059639362,11635.830835207544
64,992.8815999999991,717.4371824938842,-0.1653716130501995,16634.56552586411,39851.8525538589
65,3212.6611000000003,647.4892300692471,0.047284370720988574,12718.134992503157,13140.04067037563
66,7055.1768999999995,575.451480133365,-0.741580589100568,13774.65668895991,16835.07997948232
67,7934.738800000003,586.4071920375632,0.06729958496159977,12593.194789693813,15778.7822265625
68,7681.196500000002,568.8794447773635,-0.25924634884553727,7934.168141374685,10102.24497415562
69,7885.614999999999,561.4784561311355,0.27593422910631304,7785.905495383523,9834.520527541035
70,7773.0621999999985,573.8951804421165,-0.177491113844544,7712.072615806503,9674.913845486111
71,9578.5534,573.4869082672427,-0.09738406096820278,6724.9892985026045,8365.025940557924
72,8188.2161,576.7879897608901,-0.13189737237237317,6241.288756707702,7841.313834142204
73,9562.271300000002,583.1148792613636,0.06230543237743956,7149.733413233902,8595.56907946654
74,7783.952699999999,588.4661661783854,-0.06198539167191043,6242.773146504103,7494.247092507102
75,8668.1929,596.492073444405,0.16798452777091902,7000.679021661932,8314.808135061554
76,7784.177599999999,598.4460849954625,-0.12623159798106762,7050.213091609454,8188.697213837595
77,7158.253000000001,597.205137310606,0.02735638315554219,6189.118699199022,7329.40680979719
78,7675.6279,603.1027184688684,0.013774049402487398,6359.90094302399,7193.451603436711
79,7856.260000000002,603.8510890151515,0.04881022353139189,6449.325543027936,7325.885875355114
80,7208.3787999999995,604.889700841422,-0.032713982831649106,6100.612727617977,7295.222594598327
81,6681.498100000002,604.1933285491635,0.07957739209887957,5890.8723181522255,6949.104040897254
82,7343.598199999998,609.303740530303,-0.13061162264961185,6679.183389066446,7466.281102035985
83,6434.236100000002,614.7729134607797,-0.07153306310676565,6503.917226463857,7138.172101878156
84,6775.522100000003,603.5053168402778,0.15630910357441566,5592.095592151989,6046.412198153409
85,6867.795899999997,604.0025338837595,-0.16605658603437018,5900.2470296223955,6575.595888080019
86,5867.002299999998,594.5643051609849,0.16097845588669632,5423.985786823311,6307.93564305161
87,6030.338899999998,595.4345789437342,-0.15149438181760336,5595.556788589015,6475.439586292614
88,6127.564399999997,594.2434871172665,0.15584323201516662,5459.300808376736,6623.348361545139
89,6297.241299999997,589.5948005445076,-0.09612517743700683,5658.264827227352,6508.947396326546
