,Rewards Episodi,actor_losses,critic_losses,exploration_rates
92,478.43,-2.1606306076049804,3181.4154296875,0.2641391662740964
93,224.38,-0.48052051544189456,698.58462890625,0.26405993244812503
94,-187.02,-3.3607072544097902,4088.4935546875,0.26353231399620003
95,274.46,-0.35838653564453127,435.5701171875,0.26347961016872395
96,3.080000000000002,-2.3504755210876467,2877.970107421875,0.26313729211426423
97,496.03000000000003,-2.170332221984863,2526.8584765625,0.26282170097646274
98,-1649.9599999999998,-6.634723663330078,7504.07849609375,0.2619295800513784
99,-951.3199999999998,-3.356476707458496,3631.913173828125,0.26151080689215944
100,-24.79999999999997,-2.5479798316955566,2470.463427734375,0.2611971664635021
101,-786.5899999999999,-4.732523231506348,5004.73888671875,0.2605970733471183
102,-175.98,-2.7469826126098633,2946.036513671875,0.2602324744929378
103,-25.040000000000035,-3.611032009124756,3605.317490234375,0.25976445398226655
104,-1353.9,-6.009848461151123,5264.062275390625,0.2590380945702955
105,-1268.8200000000002,-5.43272403717041,5214.77951171875,0.25836543672510803
106,640.5,-3.468164939880371,3247.89166015625,0.25792656668404235
107,-2315.4299999999994,-8.61216739654541,8752.78771484375,0.2568454928935965
108,526.44,-4.5993006134033205,5350.17458984375,0.2562041491074214
109,-3189.7,-9.049871730804444,10112.587578125,0.2549262618470047
110,-1603.58,-5.224176807403564,5459.931806640625,0.25421343110048605
111,-630.0500000000001,-4.252018232345581,4816.654599609375,0.25357865957865866
112,-538.8900000000001,-2.403041296005249,2857.975048828125,0.25319855773153965
113,-114.69999999999995,-3.1080556678771973,4463.689072265625,0.25261684119291766
114,-746.08,-2.5384129524230956,3862.841640625,0.2520868759859498
115,165.01000000000002,-2.8002897834777833,4627.792001953125,0.2514825627334053
116,-893.74,-1.214551649093628,3136.48126953125,0.2510804922713228
117,-930.11,-1.121475510597229,5092.201396484375,0.2504284983505833
118,-377.38,-1.118553876876831,2856.319892578125,0.250028113127226
119,-1996.1500000000003,-1.510752558708191,4105.670390625,0.249478628458427
120,-1345.63,-0.9652282679080963,5651.28328125,0.2487810305111776
121,7.089999999999989,-0.26602134719491005,3598.471943359375,0.2483087717277961
122,120.28,0.15376838877797128,2446.7962109375,0.24798616393439343
123,765.3100000000001,0.41818038702011107,2569.731533203125,0.24766397527958028
124,585.1899999999999,0.34445565700531006,1267.497216796875,0.247490662497652
125,682.8499999999999,0.31956817626953127,1166.826904296875,0.24734220521880335
126,1025.43,0.48612968921661376,2065.68015625,0.24704555776399323
127,580.55,0.14127098590135576,2902.35701171875,0.24667524871281096
128,691.17,0.00915074709802866,982.1202734375,0.24652728055993745
129,1871.0800000000004,-0.2365280106663704,3576.92587890625,0.246034694119729
130,456.96,-0.8510858392715455,4460.026923828125,0.24546943635552018
131,631.3499999999999,-0.20572173833847046,1140.0896875,0.24532219150921333
132,570.24,-0.1384323763847351,1028.226474609375,0.2451995549432248
133,1496.87,-0.3829594671726227,5128.54201171875,0.24451392224092958
134,1064.5900000000001,-0.14718518733978272,1999.4348828125,0.24424509136878508
135,59.130000000000095,-0.2758279001712799,2912.4640625,0.243830206720754
136,695.5200000000001,-1.042708661556244,3497.553486328125,0.2433186750059263
137,1412.69,-2.185489172935486,5063.967353515625,0.2426383016638873
138,843.12,-1.4769036483764648,2423.946240234375,0.24227459887124098
139,1139.54,-1.37600510597229,2405.89880859375,0.2419840292005423
140,608.8199999999999,-3.3499686336517334,5380.3327734375,0.24128325708738413
141,798.8900000000001,-1.4567206764221192,2096.1336328125,0.2409938763727586
142,469.54999999999995,-3.301791105270386,4359.291943359375,0.2403921141094747
143,1264.89,-2.1830043411254882,2685.865546875,0.24003177824068475
144,607.14,-1.691059160232544,1915.837646484375,0.23976787526250076
145,592.27,-3.542328758239746,4056.1686328125,0.2392170153377048
146,1147.3199999999997,-3.134961738586426,3214.2559765625,0.23876291183795084
147,1545.34,-5.60580659866333,5622.894208984375,0.23804766075238012
148,360.45000000000005,-0.5981280899047852,712.884169921875,0.2379762535953462
149,2311.980000000001,-6.017103538513184,5720.109443359375,0.23726335906573162
150,154.13000000000002,-2.4686255073547363,2235.56732421875,0.23697879957648352
151,424.78,-0.8279058456420898,684.40462890625,0.23688402227443303
152,66.51,-2.4884253120422364,2028.840810546875,0.2365999177390557
153,181.32999999999998,-2.2524931144714357,1957.874873046875,0.2363397879204664
154,695.1899999999999,-1.6469443130493164,1495.72705078125,0.23615078225203726
155,1987.1399999999999,-6.574922065734864,5761.161396484375,0.2354433562030585
156,2118.9700000000003,-11.6653005027771,8822.178916015626,0.23426901899388436
157,441.03999999999996,-3.239329319000244,2450.88228515625,0.23396465193204297
158,2210.9399999999996,-6.041089515686036,3797.6825,0.23342712474902438
159,-795.8400000000001,-14.704894638061523,8869.270654296875,0.23226284403775688
160,2547.5899999999997,-11.414796390533446,5796.057578125,0.23142815939814904
161,2106.7599999999998,-7.497938251495361,4069.3658203125,0.2308964597351222
162,1372.7599999999998,-11.740138626098632,5920.97833984375,0.23011270572054773
163,2066.0299999999997,-18.99992977142334,8501.388427734375,0.2289649565676758
164,2342.900000000001,-19.898666191101075,8660.9088671875,0.22782293212311067
165,408.27,-3.3085704040527344,1534.50181640625,0.2276407375550767
166,1155.36,-6.285288772583008,2623.730029296875,0.22729951536797308
167,118.6,-6.828898162841797,2794.129052734375,0.22693610877555645
168,-16.529999999999987,-5.627314682006836,2200.605107421875,0.22664126877942556
169,-1368.3200000000002,-22.76697692871094,8609.85115234375,0.22551083435411687
170,1841.6100000000001,-18.599551429748534,6502.450458984375,0.22463301107632846
171,522.21,-3.4525131607055664,1140.418173828125,0.22447581513364598
172,682.7199999999999,-12.00580593109131,3732.59259765625,0.22393769227647448
173,1492.37,-10.28602954864502,3475.848388671875,0.22349024211835639
174,368.13999999999965,-26.52929988861084,8523.782490234375,0.2223755242879643
175,-653.5500000000001,-27.95100872039795,8185.58654296875,0.22126636641325345
176,2622.2000000000007,-29.048443298339844,8454.12943359375,0.22016274076244607
177,-44.0,-7.159620971679687,1809.36421875,0.21989869073251514
178,108.89000000000003,-22.122761268615722,5715.505380859375,0.21910843923884765
179,663.75,-16.299809951782226,3912.57439453125,0.21853946882989972
180,2082.0899999999997,-14.069291114807129,3651.376240234375,0.218059186488256
181,3932.5200000000004,-32.81752510070801,8164.21521484375,0.21697155751190655
182,-426.17,-9.409694061279296,2461.81740234375,0.21666799469655135
183,7.169999999999888,-20.773166046142578,4632.3662890625,0.2160189323391601
