,Rewards Steps
597,-277.0
598,-141.0
599,-249.0
600,-9.0
601,-329.0
602,46.0
603,187.0
604,97.92
605,-55.890000000000015
606,-103.68999999999998
607,-55.0
608,52.0
609,-3.219999999999999
610,180.0
611,33.17999999999999
612,-195.0
613,-9.0
614,-9.0
615,-78.0
616,26.0
617,-150.35999999999999
618,-3.0
619,-276.0
620,-83.0
621,-408.0
622,129.0
623,-153.95000000000002
624,58.33
625,-231.0
626,-5.0
627,16.24000000000001
628,62.95
629,-65.0
630,41.0
631,2.0
632,34.0
633,-21.0
634,-21.0
635,-35.0
636,-21.0
637,-167.0
638,-321.0
639,184.0
640,-101.10000000000001
641,-264.11999999999995
642,-6.0
643,221.0
644,14.199999999999996
645,-38.67999999999999
646,-315.0
647,-82.0
648,-156.17999999999998
649,-90.0
650,-175.0
651,-64.0
652,-284.92
653,160.0
654,102.1
655,41.489999999999995
656,-336.0
657,-129.0
658,-376.0
659,28.0
660,-432.0
661,-250.0
662,130.0
663,-110.1
664,108.0
665,-50.47999999999999
666,87.34
667,-169.0
668,-30.0
669,-264.0
670,-229.0
671,117.0
672,-81.9
673,-297.0
674,-251.0
675,-54.0
676,-215.0
677,-191.0
678,131.0
679,6.799999999999997
680,-99.86999999999998
681,-307.0
682,-99.0
683,-324.0
684,-412.0
685,-87.0
686,-44.0
687,-113.0
688,200.0
689,-117.24000000000001
690,47.44
691,37.519999999999996
692,125.24000000000001
693,144.17
694,66.92
695,-155.0
696,30.0
697,-294.0
698,-13.0
699,-87.0
700,-183.0
701,-222.0
702,-174.0
703,-156.0
704,-27.0
705,0.0
706,-93.0
707,-126.0
708,-72.0
709,238.0
710,28.069999999999993
711,159.62
712,-84.0
713,-133.0
714,40.0
715,-113.0
716,-105.0
717,-102.0
718,-312.0
719,-30.0
720,-252.0
721,-276.0
722,-122.0
723,-5.0
724,139.11
725,-97.72
726,-81.94
727,-213.0
728,263.0
729,119.53999999999999
730,-247.59
731,30.0
732,-303.0
733,-357.0
734,-267.0
735,148.0
736,112.26
737,81.04000000000002
738,-211.28000000000003
739,18.0
740,-319.0
