,Rewards Episodi,actor_losses,critic_losses
94,302.64,"tf.Tensor(1.0253984, shape=(), dtype=float32)","tf.Tensor(997.11743, shape=(), dtype=float32)"
95,388.2,"tf.Tensor(1.7502089, shape=(), dtype=float32)","tf.Tensor(1718.8129, shape=(), dtype=float32)"
96,302.46,"tf.Tensor(1.0836484, shape=(), dtype=float32)","tf.Tensor(975.91815, shape=(), dtype=float32)"
97,309.64,"tf.Tensor(1.7135311, shape=(), dtype=float32)","tf.Tensor(2001.0328, shape=(), dtype=float32)"
98,303.06,"tf.Tensor(1.006281, shape=(), dtype=float32)","tf.Tensor(1180.6842, shape=(), dtype=float32)"
99,-17.28,"tf.Tensor(3.406579, shape=(), dtype=float32)","tf.Tensor(3152.4775, shape=(), dtype=float32)"
100,388.6,"tf.Tensor(3.8792307, shape=(), dtype=float32)","tf.Tensor(3510.3618, shape=(), dtype=float32)"
101,303.43,"tf.Tensor(1.1550393, shape=(), dtype=float32)","tf.Tensor(1190.923, shape=(), dtype=float32)"
102,108.94000000000003,"tf.Tensor(3.2514067, shape=(), dtype=float32)","tf.Tensor(2984.245, shape=(), dtype=float32)"
103,309.36,"tf.Tensor(2.2878845, shape=(), dtype=float32)","tf.Tensor(2187.7742, shape=(), dtype=float32)"
104,305.40999999999997,"tf.Tensor(1.6635513, shape=(), dtype=float32)","tf.Tensor(1794.2913, shape=(), dtype=float32)"
105,307.92,"tf.Tensor(2.2831283, shape=(), dtype=float32)","tf.Tensor(2303.7644, shape=(), dtype=float32)"
106,306.64,"tf.Tensor(2.5063698, shape=(), dtype=float32)","tf.Tensor(2365.4365, shape=(), dtype=float32)"
107,317.6,"tf.Tensor(2.6001081, shape=(), dtype=float32)","tf.Tensor(2265.9307, shape=(), dtype=float32)"
108,417.64,"tf.Tensor(14.941497, shape=(), dtype=float32)","tf.Tensor(13189.95, shape=(), dtype=float32)"
109,464.21,"tf.Tensor(5.0906787, shape=(), dtype=float32)","tf.Tensor(3994.7131, shape=(), dtype=float32)"
110,1293.5500000000002,"tf.Tensor(9.115495, shape=(), dtype=float32)","tf.Tensor(7152.19, shape=(), dtype=float32)"
111,333.15,"tf.Tensor(3.3446615, shape=(), dtype=float32)","tf.Tensor(2599.7944, shape=(), dtype=float32)"
112,321.37,"tf.Tensor(4.697922, shape=(), dtype=float32)","tf.Tensor(3796.9368, shape=(), dtype=float32)"
113,487.56000000000006,"tf.Tensor(10.347978, shape=(), dtype=float32)","tf.Tensor(9109.56, shape=(), dtype=float32)"
114,660.73,"tf.Tensor(4.7128987, shape=(), dtype=float32)","tf.Tensor(3645.215, shape=(), dtype=float32)"
115,1832.79,"tf.Tensor(6.9481554, shape=(), dtype=float32)","tf.Tensor(9830.957, shape=(), dtype=float32)"
116,1158.42,"tf.Tensor(0.96593547, shape=(), dtype=float32)","tf.Tensor(5840.2637, shape=(), dtype=float32)"
117,464.90000000000003,"tf.Tensor(-0.4456554, shape=(), dtype=float32)","tf.Tensor(2197.9463, shape=(), dtype=float32)"
118,2463.8900000000003,"tf.Tensor(-13.922493, shape=(), dtype=float32)","tf.Tensor(12786.617, shape=(), dtype=float32)"
119,310.96,"tf.Tensor(-1.6039364, shape=(), dtype=float32)","tf.Tensor(923.428, shape=(), dtype=float32)"
120,855.0400000000002,"tf.Tensor(-7.103869, shape=(), dtype=float32)","tf.Tensor(3276.3232, shape=(), dtype=float32)"
121,935.84,"tf.Tensor(-9.429495, shape=(), dtype=float32)","tf.Tensor(3831.67, shape=(), dtype=float32)"
122,1049.63,"tf.Tensor(-12.301309, shape=(), dtype=float32)","tf.Tensor(4745.8105, shape=(), dtype=float32)"
123,537.5999999999999,"tf.Tensor(-5.418178, shape=(), dtype=float32)","tf.Tensor(2091.485, shape=(), dtype=float32)"
124,1346.38,"tf.Tensor(-14.315169, shape=(), dtype=float32)","tf.Tensor(4680.0483, shape=(), dtype=float32)"
125,1423.42,"tf.Tensor(-19.282232, shape=(), dtype=float32)","tf.Tensor(6034.136, shape=(), dtype=float32)"
126,1596.5,"tf.Tensor(-19.182777, shape=(), dtype=float32)","tf.Tensor(5936.21, shape=(), dtype=float32)"
127,836.46,"tf.Tensor(-10.5838375, shape=(), dtype=float32)","tf.Tensor(3034.8752, shape=(), dtype=float32)"
128,575.26,"tf.Tensor(-8.106785, shape=(), dtype=float32)","tf.Tensor(2209.1748, shape=(), dtype=float32)"
129,1628.17,"tf.Tensor(-23.687834, shape=(), dtype=float32)","tf.Tensor(6104.591, shape=(), dtype=float32)"
130,984.72,"tf.Tensor(-15.925617, shape=(), dtype=float32)","tf.Tensor(3700.9724, shape=(), dtype=float32)"
131,308.16,"tf.Tensor(-2.9198468, shape=(), dtype=float32)","tf.Tensor(582.841, shape=(), dtype=float32)"
132,893.51,"tf.Tensor(-11.885763, shape=(), dtype=float32)","tf.Tensor(3059.92, shape=(), dtype=float32)"
133,839.6300000000001,"tf.Tensor(-12.169844, shape=(), dtype=float32)","tf.Tensor(2425.1072, shape=(), dtype=float32)"
134,786.5699999999999,"tf.Tensor(-10.859584, shape=(), dtype=float32)","tf.Tensor(2267.8127, shape=(), dtype=float32)"
135,1037.99,"tf.Tensor(-17.571114, shape=(), dtype=float32)","tf.Tensor(3499.0913, shape=(), dtype=float32)"
136,377.82,"tf.Tensor(-4.8700905, shape=(), dtype=float32)","tf.Tensor(1084.6117, shape=(), dtype=float32)"
137,499.17,"tf.Tensor(-8.200518, shape=(), dtype=float32)","tf.Tensor(1726.1187, shape=(), dtype=float32)"
138,923.47,"tf.Tensor(-14.991088, shape=(), dtype=float32)","tf.Tensor(3082.8123, shape=(), dtype=float32)"
139,474.15999999999997,"tf.Tensor(-8.445226, shape=(), dtype=float32)","tf.Tensor(1362.9452, shape=(), dtype=float32)"
140,963.4599999999999,"tf.Tensor(-17.10965, shape=(), dtype=float32)","tf.Tensor(3325.6492, shape=(), dtype=float32)"
141,875.12,"tf.Tensor(-17.413055, shape=(), dtype=float32)","tf.Tensor(3348.6025, shape=(), dtype=float32)"
142,1089.92,"tf.Tensor(-24.910261, shape=(), dtype=float32)","tf.Tensor(4532.166, shape=(), dtype=float32)"
143,812.6200000000001,"tf.Tensor(-16.30703, shape=(), dtype=float32)","tf.Tensor(2602.0305, shape=(), dtype=float32)"
144,687.03,"tf.Tensor(-12.855014, shape=(), dtype=float32)","tf.Tensor(2096.89, shape=(), dtype=float32)"
145,789.89,"tf.Tensor(-12.976706, shape=(), dtype=float32)","tf.Tensor(2587.98, shape=(), dtype=float32)"
146,357.38,"tf.Tensor(-5.6200395, shape=(), dtype=float32)","tf.Tensor(918.7418, shape=(), dtype=float32)"
147,1039.96,"tf.Tensor(-18.906445, shape=(), dtype=float32)","tf.Tensor(2958.9053, shape=(), dtype=float32)"
148,797.84,"tf.Tensor(-13.405077, shape=(), dtype=float32)","tf.Tensor(2007.4749, shape=(), dtype=float32)"
149,1652.64,"tf.Tensor(-29.197838, shape=(), dtype=float32)","tf.Tensor(4871.9243, shape=(), dtype=float32)"
150,868.4499999999999,"tf.Tensor(-15.840401, shape=(), dtype=float32)","tf.Tensor(2416.3992, shape=(), dtype=float32)"
151,1055.38,"tf.Tensor(-22.07208, shape=(), dtype=float32)","tf.Tensor(3807.9375, shape=(), dtype=float32)"
152,1087.59,"tf.Tensor(-22.425188, shape=(), dtype=float32)","tf.Tensor(3382.7188, shape=(), dtype=float32)"
153,513.59,"tf.Tensor(-10.316717, shape=(), dtype=float32)","tf.Tensor(1583.8533, shape=(), dtype=float32)"
154,532.66,"tf.Tensor(-10.387454, shape=(), dtype=float32)","tf.Tensor(1501.7708, shape=(), dtype=float32)"
155,1935.11,"tf.Tensor(-40.112885, shape=(), dtype=float32)","tf.Tensor(5787.344, shape=(), dtype=float32)"
156,1648.46,"tf.Tensor(-32.39497, shape=(), dtype=float32)","tf.Tensor(4307.491, shape=(), dtype=float32)"
157,565.0799999999999,"tf.Tensor(-10.928287, shape=(), dtype=float32)","tf.Tensor(1155.7906, shape=(), dtype=float32)"
158,552.0,"tf.Tensor(-15.405756, shape=(), dtype=float32)","tf.Tensor(1538.2668, shape=(), dtype=float32)"
159,1233.4499999999998,"tf.Tensor(-28.906427, shape=(), dtype=float32)","tf.Tensor(2691.3096, shape=(), dtype=float32)"
160,1351.3899999999999,"tf.Tensor(-36.067574, shape=(), dtype=float32)","tf.Tensor(2961.988, shape=(), dtype=float32)"
161,376.78000000000003,"tf.Tensor(-9.099088, shape=(), dtype=float32)","tf.Tensor(869.13354, shape=(), dtype=float32)"
162,625.24,"tf.Tensor(-13.709329, shape=(), dtype=float32)","tf.Tensor(1024.0442, shape=(), dtype=float32)"
163,485.06,"tf.Tensor(-11.481197, shape=(), dtype=float32)","tf.Tensor(862.25165, shape=(), dtype=float32)"
164,1346.67,"tf.Tensor(-32.40822, shape=(), dtype=float32)","tf.Tensor(2340.5198, shape=(), dtype=float32)"
165,347.19000000000005,"tf.Tensor(-6.994398, shape=(), dtype=float32)","tf.Tensor(487.32977, shape=(), dtype=float32)"
166,509.23999999999995,"tf.Tensor(-11.695856, shape=(), dtype=float32)","tf.Tensor(797.1256, shape=(), dtype=float32)"
167,1132.5900000000001,"tf.Tensor(-32.998158, shape=(), dtype=float32)","tf.Tensor(1961.0266, shape=(), dtype=float32)"
168,665.24,"tf.Tensor(-16.628319, shape=(), dtype=float32)","tf.Tensor(906.21783, shape=(), dtype=float32)"
169,682.27,"tf.Tensor(-16.714436, shape=(), dtype=float32)","tf.Tensor(1055.2383, shape=(), dtype=float32)"
170,553.52,"tf.Tensor(-14.396904, shape=(), dtype=float32)","tf.Tensor(790.1225, shape=(), dtype=float32)"
171,452.22999999999996,"tf.Tensor(-12.047029, shape=(), dtype=float32)","tf.Tensor(627.8854, shape=(), dtype=float32)"
172,1049.79,"tf.Tensor(-24.21946, shape=(), dtype=float32)","tf.Tensor(1315.3494, shape=(), dtype=float32)"
173,1487.28,"tf.Tensor(-39.11427, shape=(), dtype=float32)","tf.Tensor(2220.0266, shape=(), dtype=float32)"
174,663.24,"tf.Tensor(-14.785171, shape=(), dtype=float32)","tf.Tensor(738.985, shape=(), dtype=float32)"
175,1232.3799999999999,"tf.Tensor(-32.24889, shape=(), dtype=float32)","tf.Tensor(1679.5778, shape=(), dtype=float32)"
176,938.52,"tf.Tensor(-22.499964, shape=(), dtype=float32)","tf.Tensor(1225.8906, shape=(), dtype=float32)"
177,852.97,"tf.Tensor(-22.644243, shape=(), dtype=float32)","tf.Tensor(1158.5685, shape=(), dtype=float32)"
178,718.16,"tf.Tensor(-22.786705, shape=(), dtype=float32)","tf.Tensor(1116.5011, shape=(), dtype=float32)"
179,634.0699999999999,"tf.Tensor(-15.271545, shape=(), dtype=float32)","tf.Tensor(736.78815, shape=(), dtype=float32)"
180,870.5699999999999,"tf.Tensor(-23.025063, shape=(), dtype=float32)","tf.Tensor(1148.8488, shape=(), dtype=float32)"
181,642.3199999999999,"tf.Tensor(-15.428132, shape=(), dtype=float32)","tf.Tensor(655.7346, shape=(), dtype=float32)"
182,755.0,"tf.Tensor(-18.07725, shape=(), dtype=float32)","tf.Tensor(974.5849, shape=(), dtype=float32)"
183,744.0200000000001,"tf.Tensor(-18.162195, shape=(), dtype=float32)","tf.Tensor(814.4395, shape=(), dtype=float32)"
184,844.7,"tf.Tensor(-23.475574, shape=(), dtype=float32)","tf.Tensor(1024.6166, shape=(), dtype=float32)"
185,727.4300000000001,"tf.Tensor(-18.356178, shape=(), dtype=float32)","tf.Tensor(901.2033, shape=(), dtype=float32)"
186,1289.82,"tf.Tensor(-34.305176, shape=(), dtype=float32)","tf.Tensor(1491.1909, shape=(), dtype=float32)"
187,1430.42,"tf.Tensor(-37.256054, shape=(), dtype=float32)","tf.Tensor(1878.7275, shape=(), dtype=float32)"
188,981.8,"tf.Tensor(-26.820303, shape=(), dtype=float32)","tf.Tensor(1249.2468, shape=(), dtype=float32)"
189,670.6899999999999,"tf.Tensor(-18.879093, shape=(), dtype=float32)","tf.Tensor(925.8038, shape=(), dtype=float32)"
190,802.44,"tf.Tensor(-21.684011, shape=(), dtype=float32)","tf.Tensor(841.03357, shape=(), dtype=float32)"
191,486.83,"tf.Tensor(-13.60933, shape=(), dtype=float32)","tf.Tensor(646.3163, shape=(), dtype=float32)"
192,992.3900000000001,"tf.Tensor(-27.353203, shape=(), dtype=float32)","tf.Tensor(1237.4697, shape=(), dtype=float32)"
193,449.40000000000003,"tf.Tensor(-10.991369, shape=(), dtype=float32)","tf.Tensor(570.96783, shape=(), dtype=float32)"
194,715.95,"tf.Tensor(-19.305777, shape=(), dtype=float32)","tf.Tensor(847.81226, shape=(), dtype=float32)"
195,620.74,"tf.Tensor(-19.392254, shape=(), dtype=float32)","tf.Tensor(843.127, shape=(), dtype=float32)"
196,1431.4099999999999,"tf.Tensor(-39.036907, shape=(), dtype=float32)","tf.Tensor(1731.6462, shape=(), dtype=float32)"
197,576.95,"tf.Tensor(-16.835676, shape=(), dtype=float32)","tf.Tensor(830.71313, shape=(), dtype=float32)"
198,394.55,"tf.Tensor(-11.26157, shape=(), dtype=float32)","tf.Tensor(545.60925, shape=(), dtype=float32)"
199,342.42,"tf.Tensor(-8.466229, shape=(), dtype=float32)","tf.Tensor(353.40878, shape=(), dtype=float32)"
200,589.0899999999999,"tf.Tensor(-19.818668, shape=(), dtype=float32)","tf.Tensor(912.2997, shape=(), dtype=float32)"
201,993.03,"tf.Tensor(-25.608706, shape=(), dtype=float32)","tf.Tensor(1047.739, shape=(), dtype=float32)"
202,869.55,"tf.Tensor(-22.880339, shape=(), dtype=float32)","tf.Tensor(878.0561, shape=(), dtype=float32)"
